event_id,event_url,event_title,event_date_txt,event_date,event_location
0e2c2daf11b5d8f2,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,UFC Fight Night: Garcia vs. Onama,"November 01, 2025",2025-11-01,"Las Vegas, Nevada, USA"
7956f026e2672c47,http://ufcstats.com/event-details/7956f026e2672c47,UFC 321: Aspinall vs. Gane,"October 25, 2025",2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
38e5d9dcb0fddc42,http://ufcstats.com/event-details/38e5d9dcb0fddc42,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",2025-10-18,"Vancouver, British Columbia, Canada"
9336e86cfd4ceaa1,http://ufcstats.com/event-details/9336e86cfd4ceaa1,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025",2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil"
8944a0f9b2f0ce6d,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",2025-10-04,"Las Vegas, Nevada, USA"
ed220e87bef0cc64,http://ufcstats.com/event-details/ed220e87bef0cc64,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025",2025-09-27,"Perth, Western Australia, Australia"
5efaaf313b652dd7,http://ufcstats.com/event-details/5efaaf313b652dd7,UFC Fight Night: Lopes vs. Silva,"September 13, 2025",2025-09-13,"San Antonio, Texas, USA"
6e380a4d73ab4f0e,http://ufcstats.com/event-details/6e380a4d73ab4f0e,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025",2025-09-06,"Paris, Ile-de-France, France"
754968e325d6f60d,http://ufcstats.com/event-details/754968e325d6f60d,UFC Fight Night: Walker vs. Zhang,"August 23, 2025",2025-08-23,"Shanghai, Hebei, China"
421ccfc6ddb17958,http://ufcstats.com/event-details/421ccfc6ddb17958,UFC 319: Du Plessis vs. Chimaev,"August 16, 2025",2025-08-16,"Chicago, Illinois, USA"
6cd3dfc54f01287f,http://ufcstats.com/event-details/6cd3dfc54f01287f,UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025",2025-08-09,"Las Vegas, Nevada, USA"
f2c934689243fe4e,http://ufcstats.com/event-details/f2c934689243fe4e,UFC Fight Night: Taira vs. Park,"August 02, 2025",2025-08-02,"Las Vegas, Nevada, USA"
28d8638ea0a71908,http://ufcstats.com/event-details/28d8638ea0a71908,UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025",2025-07-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
b8e2f10efb6eca85,http://ufcstats.com/event-details/b8e2f10efb6eca85,UFC 318: Holloway vs. Poirier 3,"July 19, 2025",2025-07-19,"New Orleans, Louisiana, USA"
7b03d9df5910917d,http://ufcstats.com/event-details/7b03d9df5910917d,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025",2025-07-12,"Nashville, Tennessee, USA"
66766984842c13dc,http://ufcstats.com/event-details/66766984842c13dc,UFC 317: Topuria vs. Oliveira,"June 28, 2025",2025-06-28,"Las Vegas, Nevada, USA"
400c7b43c86d27d3,http://ufcstats.com/event-details/400c7b43c86d27d3,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025",2025-06-21,"Baku, Azerbaijan"
de277a4abcfeea46,http://ufcstats.com/event-details/de277a4abcfeea46,UFC Fight Night: Usman vs. Buckley,"June 14, 2025",2025-06-14,"Atlanta, Georgia, USA"
18c49685296c60e6,http://ufcstats.com/event-details/18c49685296c60e6,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",2025-06-07,"Newark, New Jersey, USA"
2a898bf9fb7710b3,http://ufcstats.com/event-details/2a898bf9fb7710b3,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025",2025-05-31,"Las Vegas, Nevada, USA"
8ad022dd81224f61,http://ufcstats.com/event-details/8ad022dd81224f61,UFC Fight Night: Burns vs. Morales,"May 17, 2025",2025-05-17,"Las Vegas, Nevada, USA"
118463dd8db16e7f,http://ufcstats.com/event-details/118463dd8db16e7f,UFC 315: Muhammad vs. Della Maddalena,"May 10, 2025",2025-05-10,"Montreal, Quebec, Canada"
de20ffb3fc2e7629,http://ufcstats.com/event-details/de20ffb3fc2e7629,UFC Fight Night: Sandhagen vs. Figueiredo,"May 03, 2025",2025-05-03,"Des Moines, Iowa, USA"
b2e3aca4cd363477,http://ufcstats.com/event-details/b2e3aca4cd363477,UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",2025-04-26,"Kansas City, Missouri, USA"
22f4b6cb6b1bd7fd,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd,UFC 314: Volkanovski vs. Lopes,"April 12, 2025",2025-04-12,"Miami, Florida, USA"
86b30a86664cb6e4,http://ufcstats.com/event-details/86b30a86664cb6e4,UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",2025-04-05,"Las Vegas, Nevada, USA"
0f7210aa8d61af8d,http://ufcstats.com/event-details/0f7210aa8d61af8d,UFC Fight Night: Moreno vs. Erceg,"March 29, 2025",2025-03-29,"Mexico City, Distrito Federal, Mexico"
cc2ad11b1f9d818b,http://ufcstats.com/event-details/cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,"March 22, 2025",2025-03-22,"London, England, United Kingdom"
39f62b833e4cf126,http://ufcstats.com/event-details/39f62b833e4cf126,UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",2025-03-15,"Las Vegas, Nevada, USA"
ca936c67687789e9,http://ufcstats.com/event-details/ca936c67687789e9,UFC 313: Pereira vs. Ankalaev,"March 08, 2025",2025-03-08,"Las Vegas, Nevada, USA"
9766ed20b68c7c33,http://ufcstats.com/event-details/9766ed20b68c7c33,UFC Fight Night: Kape vs. Almabayev,"March 01, 2025",2025-03-01,"Las Vegas, Nevada, USA"
c50ea21fe9ef478d,http://ufcstats.com/event-details/c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,"February 22, 2025",2025-02-22,"Seattle, Washington, USA"
ce7871949b0ed2bf,http://ufcstats.com/event-details/ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025",2025-02-15,"Las Vegas, Nevada, USA"
e6015889f50075d2,http://ufcstats.com/event-details/e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,"February 08, 2025",2025-02-08,"Sydney, New South Wales, Australia"
80dbeb1dd5b53e64,http://ufcstats.com/event-details/80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,"February 01, 2025",2025-02-01,"Riyadh, Riyadh, Saudi Arabia"
39f68882def7a507,http://ufcstats.com/event-details/39f68882def7a507,UFC 311: Makhachev vs. Moicano,"January 18, 2025",2025-01-18,"Inglewood, California, USA"
81ddc98fceb30086,http://ufcstats.com/event-details/81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,"January 11, 2025",2025-01-11,"Las Vegas, Nevada, USA"
