fighter_id,w,l,d,belt,scraped_at
000774e57404d8c7,7,1,0,FALSE,2025-11-01T22:44:00Z
001eb2ab0f30e7ea,8,1,0,FALSE,2025-11-01T22:44:00Z
002ca196477ce572,8,2,0,FALSE,2025-11-01T22:44:00Z
003d82fa384ca1d0,8,4,0,FALSE,2025-11-01T22:44:00Z
0052de90691d4a93,10,4,0,FALSE,2025-11-01T22:44:00Z
006efbb0c1621fd7,8,2,0,FALSE,2025-11-01T22:44:00Z
008c6e1a25751575,4,8,0,FALSE,2025-11-01T22:44:00Z
008cf84faae9c7a5,15,4,0,FALSE,2025-11-01T22:44:00Z
008dc37cca279def,17,7,0,FALSE,2025-11-01T22:44:00Z
008ea710276c9606,11,2,0,FALSE,2025-11-01T22:44:00Z
009341ed974bad72,32,5,1,FALSE,2025-11-01T22:44:00Z
009c4420727149ea,7,3,0,FALSE,2025-11-01T22:44:00Z
00a35c92b03992b0,16,1,0,FALSE,2025-11-01T22:44:00Z
00a3ff40c4b2cf21,15,5,0,FALSE,2025-11-01T22:44:00Z
00a905a4a4a2b071,6,4,0,FALSE,2025-11-01T22:44:00Z
00b490982afd1b17,8,2,0,FALSE,2025-11-01T22:44:00Z
00debc804e2b1cd4,18,7,0,FALSE,2025-11-01T22:44:00Z
00e11b5c8b7bfeeb,16,6,0,FALSE,2025-11-01T22:44:00Z
010986ee359fb863,14,3,0,FALSE,2025-11-01T22:44:00Z
0112352cb32f5026,10,10,0,FALSE,2025-11-01T22:44:00Z
012fc7cd0779c09a,18,8,0,FALSE,2025-11-01T22:44:00Z
013da757877044a2,7,3,1,FALSE,2025-11-01T22:44:00Z
01641ba5df0c69b0,18,1,0,FALSE,2025-11-01T22:44:00Z
016a8d958883167c,7,6,0,FALSE,2025-11-01T22:44:00Z
01762e1d4ff4dc51,12,4,0,FALSE,2025-11-01T22:44:00Z
01784fbc27c68b14,4,6,0,FALSE,2025-11-01T22:44:00Z
01afe0916a40c7c5,19,0,0,FALSE,2025-11-01T22:44:00Z
01b352b6a9074d5c,16,12,0,FALSE,2025-11-01T22:44:00Z
01b39decaf0abf6a,21,7,0,FALSE,2025-11-01T22:44:00Z
01c9e4013afce141,11,3,0,FALSE,2025-11-01T22:44:00Z
01d2ed8c502e3828,11,6,0,FALSE,2025-11-01T22:44:00Z
01daf32100ed7517,25,10,10,FALSE,2025-11-01T22:44:00Z
01dd4cdc2446f665,12,6,0,FALSE,2025-11-01T22:44:00Z
01dfb60661153735,12,3,0,FALSE,2025-11-01T22:44:00Z
01f022fa494188e2,15,4,0,FALSE,2025-11-01T22:44:00Z
01f4bcd26ac08ad5,0,2,0,FALSE,2025-11-01T22:44:00Z
01f86e2d604e2f3c,15,12,2,FALSE,2025-11-01T22:44:00Z
01fcef7e3d051722,16,8,1,FALSE,2025-11-01T22:44:00Z
01fed6f61ebea01f,10,7,0,FALSE,2025-11-01T22:44:00Z
02177caefe7c07d4,0,1,0,FALSE,2025-11-01T22:44:00Z
0232cabbc30a2372,17,6,0,FALSE,2025-11-01T22:44:00Z
024158997e7c5829,4,1,0,FALSE,2025-11-01T22:44:00Z
02500fb9fd79a974,20,3,0,FALSE,2025-11-01T22:44:00Z
025f0b1b58fbad01,13,4,0,FALSE,2025-11-01T22:44:00Z
026b4f7049085842,36,26,0,FALSE,2025-11-01T22:44:00Z
0275e33febc2818c,1,3,0,FALSE,2025-11-01T22:44:00Z
029880cdbf5ca089,36,4,1,FALSE,2025-11-01T22:44:00Z
029afd138865d20a,20,12,0,FALSE,2025-11-01T22:44:00Z
029e1293e609fd74,17,4,1,FALSE,2025-11-01T22:44:00Z
029eaff01e6bb8f0,30,10,0,FALSE,2025-11-01T22:44:00Z
02a65a55f25fb4f3,8,5,0,FALSE,2025-11-01T22:44:00Z
02bb48869eb7ac8f,14,9,0,FALSE,2025-11-01T22:44:00Z
02d276b7d62b3472,0,3,0,FALSE,2025-11-01T22:44:00Z
02d808afb96669de,6,3,0,FALSE,2025-11-01T22:44:00Z
02e52b3a595f0786,11,9,0,FALSE,2025-11-01T22:44:00Z
02f0e04acf102ea9,18,22,3,FALSE,2025-11-01T22:44:00Z
02f2a9702ba3d167,13,15,1,FALSE,2025-11-01T22:44:00Z
02f484417a6fa69d,9,1,0,FALSE,2025-11-01T22:44:00Z
02f8fedc18cbd26c,13,9,0,FALSE,2025-11-01T22:44:00Z
02fc8f50f56eb307,0,4,0,FALSE,2025-11-01T22:44:00Z
030f08370fd1c2bb,24,13,0,FALSE,2025-11-01T22:44:00Z
0313bf497de9c470,1,1,0,FALSE,2025-11-01T22:44:00Z
031da10a00c8ccd4,14,6,1,FALSE,2025-11-01T22:44:00Z
032b65d5fff611b2,10,8,2,FALSE,2025-11-01T22:44:00Z
032cc3922d871c7f,29,0,0,FALSE,2025-11-01T22:44:00Z
033343da4c0cff8a,2,13,0,FALSE,2025-11-01T22:44:00Z
033d19259f589457,13,5,0,FALSE,2025-11-01T22:44:00Z
0359313549d230a1,10,7,0,FALSE,2025-11-01T22:44:00Z
03688dc3c3af3ac1,28,4,1,FALSE,2025-11-01T22:44:00Z
036e96c1c12b8a59,6,2,0,FALSE,2025-11-01T22:44:00Z
037cfd34a27d59e9,9,0,0,FALSE,2025-11-01T22:44:00Z
03b1b79b34eaf217,7,1,1,FALSE,2025-11-01T22:44:00Z
03b1e846b09f721d,4,7,0,FALSE,2025-11-01T22:44:00Z
03c9994c5b8958ec,8,3,0,FALSE,2025-11-01T22:44:00Z
03da33a102d9a45f,0,1,0,FALSE,2025-11-01T22:44:00Z
03dee485905dbc9f,7,1,0,FALSE,2025-11-01T22:44:00Z
03e8df49c4a059ba,14,4,1,FALSE,2025-11-01T22:44:00Z
03f982ca3735070c,13,10,0,FALSE,2025-11-01T22:44:00Z
040426baba8a45e8,11,10,0,FALSE,2025-11-01T22:44:00Z
04076783ca83d6ae,2,5,0,FALSE,2025-11-01T22:44:00Z
040a74bb0a465c54,20,3,0,FALSE,2025-11-01T22:44:00Z
040d3b4c735541aa,13,5,0,FALSE,2025-11-01T22:44:00Z
042cc07ad5a53a33,8,2,0,FALSE,2025-11-01T22:44:00Z
045f25b3a4c08e81,23,10,0,FALSE,2025-11-01T22:44:00Z
04643fd03d9159cc,22,10,0,FALSE,2025-11-01T22:44:00Z
046a85108610c0d2,3,1,0,FALSE,2025-11-01T22:44:00Z
047a91d3d9c79b05,8,3,0,FALSE,2025-11-01T22:44:00Z
04835018f90b118c,10,2,0,FALSE,2025-11-01T22:44:00Z
0496cdac0bc9edd8,5,1,0,FALSE,2025-11-01T22:44:00Z
049d698d773eb3e1,30,25,1,FALSE,2025-11-01T22:44:00Z
04b39f4e8eb59d7c,6,4,0,FALSE,2025-11-01T22:44:00Z
04c15b52c3cc1cab,9,7,0,FALSE,2025-11-01T22:44:00Z
04c8b08b16a5b99e,21,10,1,FALSE,2025-11-01T22:44:00Z
04d5718ed2661e8c,14,10,0,FALSE,2025-11-01T22:44:00Z
04e0507b94014dbb,13,5,1,FALSE,2025-11-01T22:44:00Z
04e9955f33e0c267,1,1,0,FALSE,2025-11-01T22:44:00Z
04f0471f221db717,1,3,0,FALSE,2025-11-01T22:44:00Z
04f9fe830cf13482,9,7,0,FALSE,2025-11-01T22:44:00Z
04ff3a711504d6b3,8,0,0,FALSE,2025-11-01T22:44:00Z
0505e27a5d00704a,7,3,1,FALSE,2025-11-01T22:44:00Z
