fighter_id,details_url,first,last,nickname,height_in,weight_lb,reach_in,stance,dob
93fe7332d16c6ad9,http://www.ufcstats.com/fighter-details/93fe7332d16c6ad9,Tom,Aaron,,NA,155,NA,,1978-07-13
15df64c02b6b0fde,http://www.ufcstats.com/fighter-details/15df64c02b6b0fde,Danny,Abbadi,The Assassin,71,155,NA,Orthodox,1983-07-03
59a9d6dac61c2540,http://www.ufcstats.com/fighter-details/59a9d6dac61c2540,Nariman,Abbasov,Bayraktar,68,155,66,Orthodox,1994-02-01
4961467134abd8be,http://www.ufcstats.com/fighter-details/4961467134abd8be,Darion,Abbey,,74,265,80,Orthodox,1993-02-25
b361180739bed4b0,http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,Tank,72,265,NA,Switch,1965-04-26
3329d692aea4dc28,http://www.ufcstats.com/fighter-details/3329d692aea4dc28,Hamdy,Abdelwahab,The Hammer,74,265,72,Southpaw,1993-01-22
841695e02c99a521,http://www.ufcstats.com/fighter-details/841695e02c99a521,Mansur,Abdul-Malik,,74,185,80,Orthodox,1997-10-07
2f5cbecbbe18bac4,http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil,Abdurakhimov,Abrek,75,235,76,Orthodox,1981-09-02
5140122c3eecd307,http://www.ufcstats.com/fighter-details/5140122c3eecd307,Daichi,Abe,,71,170,71,Orthodox,1991-11-27
c0ed7b208197e8de,http://www.ufcstats.com/fighter-details/c0ed7b208197e8de,Hiroyuki,Abe,Abe Ani,66,145,NA,Orthodox,1970-02-09
c9f6385af6df66d7,http://www.ufcstats.com/fighter-details/c9f6385af6df66d7,Papy,Abedi,Makambo,71,185,NA,Southpaw,1978-06-30
f689bd7bbd14b392,http://www.ufcstats.com/fighter-details/f689bd7bbd14b392,Cyborg,Abreu,,NA,NA,NA,,1980-12-20
7279654c7674cd24,http://www.ufcstats.com/fighter-details/7279654c7674cd24,Klidson,Abreu,White Bear,72,205,74,Orthodox,1992-12-24
aa6e591c2a2cdecd,http://www.ufcstats.com/fighter-details/aa6e591c2a2cdecd,Ricardo,Abreu,Demente,71,185,NA,Orthodox,1984-04-27
1c5879330d42255f,http://www.ufcstats.com/fighter-details/1c5879330d42255f,Daniel,Acacio,,68,180,NA,Orthodox,1977-12-27
989b85f6540c86b1,http://www.ufcstats.com/fighter-details/989b85f6540c86b1,John,Adajar,The Outlaw,69,170,75,Orthodox,1991-06-22
a77633a989013265,http://www.ufcstats.com/fighter-details/a77633a989013265,Anthony,Adams,Sugafoot,73,185,76,Orthodox,1988-01-13
83b00f7597e5ac83,http://www.ufcstats.com/fighter-details/83b00f7597e5ac83,Juan,Adams,The Kraken,77,265,80,Orthodox,1992-01-16
2620f3eb21c79614,http://www.ufcstats.com/fighter-details/2620f3eb21c79614,Scott,Adams,,72,225,NA,Southpaw,NA
79cb2a690b9ba5e8,http://www.ufcstats.com/fighter-details/79cb2a690b9ba5e8,Zarrukh,Adashev,The Lion,65,125,65,Southpaw,1992-07-29
1338e2c7480bdf9e,http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel,Adesanya,The Last Stylebender,76,185,80,Switch,1989-07-22
0e9869d712e81f8f,http://www.ufcstats.com/fighter-details/0e9869d712e81f8f,Sam,Adkins,The Experience,75,225,NA,Orthodox,1965-04-26
7a846fcbf182a7c8,http://www.ufcstats.com/fighter-details/7a846fcbf182a7c8,Mohamed,Ado,,71,170,76,Switch,2000-05-03
ebc5af72ad5a28cb,http://www.ufcstats.com/fighter-details/ebc5af72ad5a28cb,Nick,Agallar,,68,155,NA,Orthodox,1979-01-13
a08ddd04eaffd81d,http://www.ufcstats.com/fighter-details/a08ddd04eaffd81d,Mariya,Agapova,Money Mashka,66,125,68,Southpaw,1997-04-07
26f4288e83188c61,http://www.ufcstats.com/fighter-details/26f4288e83188c61,Kantharaj,Agasa,Kannadiga,NA,135,NA,,1992-02-16
501821d7fb7b95c1,http://www.ufcstats.com/fighter-details/501821d7fb7b95c1,Fabio,Aguiar,,72,185,NA,,1988-02-10
44aa652b181bcf68,http://www.ufcstats.com/fighter-details/44aa652b181bcf68,Marcelo,Aguiar,,70,170,NA,Orthodox,1969-01-20
6cadc0a0ba7dc015,http://www.ufcstats.com/fighter-details/6cadc0a0ba7dc015,Edwin,Aguilar,Tigre,70,185,NA,,1972-01-01
8f382b3baa954d2a,http://www.ufcstats.com/fighter-details/8f382b3baa954d2a,Jessica,Aguilar,Jag,63,115,63,Orthodox,1982-05-08
c051c2e12d692b8a,http://www.ufcstats.com/fighter-details/c051c2e12d692b8a,Jesus,Aguilar,,64,125,62,Orthodox,1996-03-13
cf946e03ba2e7666,http://www.ufcstats.com/fighter-details/cf946e03ba2e7666,Kevin,Aguilar,Angel of Death,67,155,73,Orthodox,1988-09-07
ae071698e1a3ccd4,http://www.ufcstats.com/fighter-details/ae071698e1a3ccd4,Christian,Aguilera,The Beast,69,170,72,Switch,1991-11-25
0978385b2bd9ef9b,http://www.ufcstats.com/fighter-details/0978385b2bd9ef9b,Nick,Aguirre,Slick,69,135,74,Southpaw,1996-01-15
b2efa582adf73604,http://www.ufcstats.com/fighter-details/b2efa582adf73604,,Agulali,,69,125,67,Switch,2005-04-07
ff584c17bccbae0b,http://www.ufcstats.com/fighter-details/ff584c17bccbae0b,Ahejiang,Ailinuer,,NA,145,NA,,NA
9e3dbb9c68ed5d1a,http://www.ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Mike,Aina,Iron,69,155,NA,Orthodox,1980-12-25
49dea784f6cfed71,http://www.ufcstats.com/fighter-details/49dea784f6cfed71,Ashiek,Ajim,Peak Physique,68,135,71,Switch,1994-06-19
2eada40ac8801559,http://www.ufcstats.com/fighter-details/2eada40ac8801559,Hitomi,Akano,Girlfight Monster,64,135,NA,Southpaw,1974-07-27
16690d100f995f8f,http://www.ufcstats.com/fighter-details/16690d100f995f8f,Omari,Akhmedov,Wolverine,72,185,73,Orthodox,1987-10-12
b0550072e5f0afa7,http://www.ufcstats.com/fighter-details/b0550072e5f0afa7,Yoshihiro,Akiyama,,70,170,75,Orthodox,1975-07-29
1fc64507a0cb38cf,http://www.ufcstats.com/fighter-details/1fc64507a0cb38cf,Rostem,Akman,,70,170,72,Switch,1991-12-19
38b50fd1e1b5b656,http://www.ufcstats.com/fighter-details/38b50fd1e1b5b656,Razak,Al-Hassan,,74,205,NA,Orthodox,1982-05-14
597499ac7a5aac62,http://www.ufcstats.com/fighter-details/597499ac7a5aac62,Abdul-Kareem,Al-Selwady,Pride of Palestine,68,155,69,Orthodox,1995-04-10
1cf1310684a841f5,http://www.ufcstats.com/fighter-details/1cf1310684a841f5,Mostapha,Al-Turk,,74,245,77,Orthodox,1973-07-14
e87a13e02c01331d,http://www.ufcstats.com/fighter-details/e87a13e02c01331d,Ali,AlQaisi,The Royal Fighter,66,135,68,Orthodox,1990-09-23
7578cc6bd750206b,http://www.ufcstats.com/fighter-details/7578cc6bd750206b,Herdem,Alacabek,,74,205,75,Orthodox,1991-06-07
2144954270be834d,http://www.ufcstats.com/fighter-details/2144954270be834d,Javi,Alanis,,66,135,NA,,NA
1897b7b913736a7c,http://www.ufcstats.com/fighter-details/1897b7b913736a7c,,Alatengheili,The Mongolian Knight,65,135,66,Orthodox,1991-12-14
6d35bf94f7d30241,http://www.ufcstats.com/fighter-details/6d35bf94f7d30241,Amir,Albazi,The Prince,65,125,68,Orthodox,1993-10-27
9b28292abe3166d5,http://www.ufcstats.com/fighter-details/9b28292abe3166d5,Brett,Albee,,NA,225,NA,,NA
7bd94b60d7521e4a,http://www.ufcstats.com/fighter-details/7bd94b60d7521e4a,John,Albert,Prince,68,135,68,Orthodox,1986-10-13
c482c8605455a213,http://www.ufcstats.com/fighter-details/c482c8605455a213,Junior,Albini,Baby,75,264,74,Orthodox,1991-03-15
184b955181bdef52,http://www.ufcstats.com/fighter-details/184b955181bdef52,Wes,Albritton,,70,188,NA,Orthodox,NA
e76d9f656ceb82ab,http://www.ufcstats.com/fighter-details/e76d9f656ceb82ab,Aleksandra,Albu,Stitch,62,115,63,Orthodox,1990-07-14
dd1b90eea08887f6,http://www.ufcstats.com/fighter-details/dd1b90eea08887f6,Israel,Albuquerque,,NA,185,NA,Orthodox,NA
39f62b833e4cf126,http://www.ufcstats.com/fighter-details/39f62b833e4cf126,Juan,Alcain,,NA,NA,NA,,NA
7c6e87729e824ef4,http://www.ufcstats.com/fighter-details/7c6e87729e824ef4,Ildemar,Alcantara,Marajo,74,185,78,Orthodox,1982-11-18
2f95a3c6d58b2aad,http://www.ufcstats.com/fighter-details/2f95a3c6d58b2aad,Iuri,Alcantara,Marajo,69,135,71,Southpaw,1980-08-04
1e38bba6738b7b10,http://www.ufcstats.com/fighter-details/1e38bba6738b7b10,Alfonso,Alcarez,,63,145,NA,,1970-06-10
d26934530dc5b248,http://www.ufcstats.com/fighter-details/d26934530dc5b248,Gilbert,Aldana,El Peligro,73,250,NA,Orthodox,1977-08-25
c487223b0289bda9,http://www.ufcstats.com/fighter-details/c487223b0289bda9,Hector,Aldana,,71,170,72,Orthodox,1988-08-17
578ef12674df1e6a,http://www.ufcstats.com/fighter-details/578ef12674df1e6a,Irene,Aldana,,69,135,68,Orthodox,1988-03-26
7460ddef986d3144,http://www.ufcstats.com/fighter-details/7460ddef986d3144,Jose,Alday,Pochito,67,135,68,Orthodox,1991-09-14
d0f3959b4a9747e6,http://www.ufcstats.com/fighter-details/d0f3959b4a9747e6,Jose,Aldo,,67,135,70,Orthodox,1986-09-09
6fd953151d981979,http://www.ufcstats.com/fighter-details/6fd953151d981979,JJ,Aldrich,,65,125,67,Southpaw,1992-09-29
103e2e33a60683e1,http://www.ufcstats.com/fighter-details/103e2e33a60683e1,Irina,Alekseeva,Russian Ronda,68,135,67,Orthodox,1990-06-27
d35298b6df168456,http://www.ufcstats.com/fighter-details/d35298b6df168456,Talita,Alencar,Problem Child,61,115,58,Orthodox,1990-10-17
fe5a9547479396ab,http://www.ufcstats.com/fighter-details/fe5a9547479396ab,Jim,Alers,The Beast,69,145,71,Orthodox,1986-10-14
7a15f3694c5cbc02,http://www.ufcstats.com/fighter-details/7a15f3694c5cbc02,John,Alessio,The Natural,70,155,72,Orthodox,1979-07-05
0541480fbf719d86,http://www.ufcstats.com/fighter-details/0541480fbf719d86,Houston,Alexander,The Assassin,72,205,72,Orthodox,1972-03-22
8fd76e1b49c00ae2,http://www.ufcstats.com/fighter-details/8fd76e1b49c00ae2,Kenneth,Alexander,The Machine,69,155,NA,Orthodox,1977-09-25
11583163f45c7b31,http://www.ufcstats.com/fighter-details/11583163f45c7b31,Lucas,Alexander,The Lion,71,145,73,Orthodox,1995-07-28
d53482bef23235ba,http://www.ufcstats.com/fighter-details/d53482bef23235ba,Marcio,Alexandre Junior,Lyoto,72,185,75,Southpaw,1989-05-05
b757c73f443d4fca,http://www.ufcstats.com/fighter-details/b757c73f443d4fca,Olaf,Alfonso,,74,170,NA,Orthodox,1974-08-06
4b37a0bc2ab4cae1,http://www.ufcstats.com/fighter-details/4b37a0bc2ab4cae1,Pablo,Alfonso,The Hurricane,68,145,NA,,1983-05-09
41b34b7f11f6d085,http://www.ufcstats.com/fighter-details/41b34b7f11f6d085,Levi,Alford,,NA,NA,NA,,NA
9abc648e76c4493a,http://www.ufcstats.com/fighter-details/9abc648e76c4493a,Bill,Algeo,Senor Perfecto,72,145,73,Switch,1989-06-09
669a3cb6e394f515,http://www.ufcstats.com/fighter-details/669a3cb6e394f515,Royce,Alger,,70,199,NA,Orthodox,1965-03-06
e17770faae3ca54c,http://www.ufcstats.com/fighter-details/e17770faae3ca54c,Amir,Aliakbari,,75,250,NA,,1984-06-10
ca28cdf526d6b6e9,http://www.ufcstats.com/fighter-details/ca28cdf526d6b6e9,Nurullo,Aliev,Tajik Eagle,70,155,72,Orthodox,2000-12-08
e70de1859b7ee78e,http://www.ufcstats.com/fighter-details/e70de1859b7ee78e,Sultan,Aliev,,71,170,74,Orthodox,1984-09-17
b07aed698fba8624,http://www.ufcstats.com/fighter-details/b07aed698fba8624,Ikram,Aliskerov,,72,185,76,Southpaw,1992-12-07
6db394bf6c3b017c,http://www.ufcstats.com/fighter-details/6db394bf6c3b017c,Leon,Aliu,The Albanian Lion,72,185,74,Orthodox,1989-07-14
6ebe96a116e79e52,http://www.ufcstats.com/fighter-details/6ebe96a116e79e52,John,Allan,,73,205,75,Orthodox,1993-02-22
040a74bb0a465c54,http://www.ufcstats.com/fighter-details/040a74bb0a465c54,Arnold,Allen,Almighty,68,145,70,Southpaw,1994-01-22
2f181c0467965b98,http://www.ufcstats.com/fighter-details/2f181c0467965b98,Brendan,Allen,All In,74,185,75,Orthodox,1995-12-28
adf9a901308fb8e3,http://www.ufcstats.com/fighter-details/adf9a901308fb8e3,Daniel,Allen,,72,155,75,Southpaw,1992-08-10
1e13936d708bcff7,http://www.ufcstats.com/fighter-details/1e13936d708bcff7,George,Allen,,74,205,NA,Open Stance,1967-01-13
c4fe2e9a06ea5bcb,http://www.ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,Ben,Alloway,Blanco,71,170,76,Orthodox,1981-02-19
8d3273573b85be09,http://www.ufcstats.com/fighter-details/8d3273573b85be09,Asu,Almabayev,Zulfikar,64,125,65,Orthodox,1994-01-25
a4dc0f2b95df4cc1,http://www.ufcstats.com/fighter-details/a4dc0f2b95df4cc1,Bekzat,Almakhan,The Turan Warrior,67,135,68,Orthodox,1997-10-08
088aa1b19b2dc14a,http://www.ufcstats.com/fighter-details/088aa1b19b2dc14a,John Dave,Almanza,The Striker,67,125,67,Southpaw,2004-03-22
64d47ef881a437a4,http://www.ufcstats.com/fighter-details/64d47ef881a437a4,Cesar,Almeida,Cesinha,73,185,74,Orthodox,1988-03-28
67a992d4cff22466,http://www.ufcstats.com/fighter-details/67a992d4cff22466,Ericka,Almeida,,66,115,NA,Orthodox,1989-03-05
f16ddfa31236efed,http://www.ufcstats.com/fighter-details/f16ddfa31236efed,Estefani,Almeida,,64,125,NA,Orthodox,1988-10-17
41e83a89929d1327,http://www.ufcstats.com/fighter-details/41e83a89929d1327,Jailton,Almeida,Malhadinho,75,237,79,Orthodox,1991-06-26
710f0f8c5d5c9d41,http://www.ufcstats.com/fighter-details/710f0f8c5d5c9d41,Lucas,Almeida,,71,145,71,Orthodox,1991-01-31
d615d6a10a4704cd,http://www.ufcstats.com/fighter-details/d615d6a10a4704cd,Magno,Almeida,,72,155,NA,,1985-06-06
91186547a7f3f758,http://www.ufcstats.com/fighter-details/91186547a7f3f758,Ricardo,Almeida,Big Dog,72,170,74,Orthodox,1976-11-29
2b074403b7c6cdb4,http://www.ufcstats.com/fighter-details/2b074403b7c6cdb4,Thomas,Almeida,Thominhas,67,145,70,Southpaw,1991-07-31
c6bf75775b278ed8,http://www.ufcstats.com/fighter-details/c6bf75775b278ed8,Mauricio,Alonso,,74,170,NA,,1980-02-27
49b130de1da2e1bf,http://www.ufcstats.com/fighter-details/49b130de1da2e1bf,Sarah,Alpar,Too Sweet,64,135,63,Southpaw,1991-06-01
c61b49cec6abd6b9,http://www.ufcstats.com/fighter-details/c61b49cec6abd6b9,Rico,Altamirano,,70,170,NA,,NA
dc7927cd622676a7,http://www.ufcstats.com/fighter-details/dc7927cd622676a7,Victor,Altamirano,El Magnifico,68,125,70,Switch,1991-01-23
