fight_id,date,res,fighter_id,fighter,sig_strikes_landed,sig_strikes_thrown,opponent_id,opponent,gender,weight_class
1a5378e32e8519ef,2025-11-15,L,19c591115a58982c,Viacheslav Borshchev,65,188,72f890c5d421e705,Matheus Camilo,Men,Lightweight
292b83afa418635f,2025-11-15,W,35673bf5204524ee,Bo Nickal,77,121,260e9e0d4954aea6,Rodolfo Vieira,Men,Middleweight
3c60884853766487,2025-11-15,L,f1fac969a1d70b08,Leon Edwards,12,17,7ee0fd831c0fe7c3,Carlos Prates,Men,Welterweight
477af74ea3cbba8b,2025-11-15,L,45f7cb591c3ab00b,Sean Brady,8,22,c32aeb1a59e6272d,Michael Morales,Men,Welterweight
6c2c6a6e3f4d04db,2025-11-15,L,f0feeb2192937424,Angela Hill,56,120,745fa7b605f8e2da,Fatima Kline,Women,Strawweight
7606f6b6c19f2d73,2025-11-15,W,132deb59abae64b1,Valentina Shevchenko,41,68,1ebe20ebbfa15e29,Zhang Weili,Men,Flyweight
856f6ee049373843,2025-11-15,L,6b453bc35a823c3f,Jack Della Maddalena,18,61,275aca31f61ba28c,Islam Makhachev,Men,Welterweight
909cd8633507a0c8,2025-11-15,W,669970f7feba8ecd,Erin Blanchfield,52,116,68d4a891e5cf2029,Tracy Cortez,Women,Flyweight
9b5f190cd3f5ce16,2025-11-15,L,08af939f41b5a57b,Beneil Dariush,3,5,c2299ec916bc7c56,Benoit Saint Denis,Men,Lightweight
9bbdc2a2ab334541,2025-11-15,W,d6c0cdd7e467c440,Kyle Daukaus,8,11,6ac9bc2953c47345,Gerald Meerschaert,Men,Middleweight
c037cf1f7b429d5e,2025-11-15,W,d1feea7a4bdcd503,Baisangur Susurkaev,53,88,9508cc6184cb2450,Eric McConico,Men,Middleweight
e313286b307334a7,2025-11-15,L,2e45d08b3f2f02c8,Malcolm Wellmaker,77,146,d776b5814f2400b4,Ethyn Ewing,Men,Featherweight
e3cbd663732f4a98,2025-11-15,W,b8bbdeff718dbb7d,Pat Sabatini,12,29,e0c6edcb5b5d0b90,Chepe Mariscal,Men,Featherweight
ebb012c5f3fd0cbb,2025-11-15,L,9d83f6da776ff7d6,Roman Kopylov,52,105,d1c65d2cf2925ddd,Gregory Rodrigues,Men,Middleweight
20971ed9a842b0cb,2025-11-08,W,06626b6287e1ae1e,Chris Padilla,64,109,eb393afdbe3293d5,Ismael Bonfim,Men,Lightweight
238c274c90587e21,2025-11-08,L,46e0d677f91bacc0,Miles Johns,28,54,850266b3dc4e506e,Daniel Marcos,Men,Bantamweight
4e224ebb6394611d,2025-11-08,W,01641ba5df0c69b0,Gabriel Bonfim,35,64,c6aee362c7a7d482,Randy Brown,Men,Welterweight
80eae31bc0a94a65,2025-11-08,L,cc8c623cca88f54f,Mayra Bueno Silva,39,97,e3964ece586e0635,Jacqueline Cavalcanti,Women,Bantamweight
84b66bf7fba2d59d,2025-11-08,W,23dec7c47cb418f8,Zach Reese,32,42,3eeec2f53cebdf12,Jackson McVey,Men,Catchweight
87dcb3eab20f6ac1,2025-11-08,W,955da1675ad58a50,Josh Hokit,9,17,6a311920edd73c85,Max Gimenis,Men,Heavyweight
9126633d921afb57,2025-11-08,L,31ef8b67e13495b3,Tecia Pennington,58,125,cffb87059e645bd1,Denise Gomes,Women,Strawweight
ac4343150638b635,2025-11-08,W,a93f94c923c3a9cb,Christian Leroy Duncan,23,46,9384e71bca6c409d,Marco Tulio,Men,Middleweight
b23fa678cc65cf5b,2025-11-08,L,447f9858ae78f921,Muslim Salikhov,2,5,681399317dbf4701,Uros Medic,Men,Welterweight
c6d56aad93f98249,2025-11-08,L,5987b2458f4b5290,Ricky Simon,67,181,b9f28e7045fdfce7,Raoni Barcelos,Men,Bantamweight
e3d657dd88864ba7,2025-11-08,L,41cc71cbf210e0fe,Hyder Amil,47,125,e00a3dee329a51f7,Jamall Emmers,Men,Featherweight
f7e9bd2d6f81aeae,2025-11-08,L,67c1d46f4ed16f9e,Matt Schnell,4,11,2fe9032955c2e013,Joseph Morales,Men,Flyweight
32927d50acedb507,2025-11-01,W,87f8699fdcc2c404,Alice Ardelean,138,280,1235b31de15d0c6e,Montserrat Conejo Ruiz,Women,Strawweight
58f6248da3cdf3ce,2025-11-01,W,0e46690e55a8df75,Timmy Cuamba,23,32,117a06469813e4ef,ChangHo Lee,Men,Bantamweight
71c8ca7442bcb757,2025-11-01,W,feedf3053472fe56,Charles Radtke,31,38,7cec3c4a5e7b6d68,Daniel Frunza,Men,Welterweight
747d922b329b7f30,2025-11-01,W,97cf1a2c7c5e7889,Steve Garcia,33,62,ffe9703408fb5964,David Onama,Men,Featherweight
760150e9951e65fa,2025-11-01,L,b9706f80d005036c,Ketlen Vieira,25,83,d3f5d33d61cd00c9,Norma Dumont,Women,Bantamweight
767b78b67c7da17c,2025-11-01,L,a57cb948c4c70a47,Isaac Dulgarian,0,1,70380ccdc81915b8,Yadier del Valle,Men,Featherweight
7add5901fac6ab82,2025-11-01,W,d35298b6df168456,Talita Alencar,60,100,c0d5c0c95c59050b,Ariane Carnelossi,Women,Strawweight
9d9390b550d77e06,2025-11-01,W,fc08099550072fe4,Waldo Cortes Acosta,12,17,7d8435c56043b0ae,Ante Delija,Men,Heavyweight
b0f68344e01884ff,2025-11-01,W,d66a46de8d705353,Jeremiah Wells,32,53,40f3cb27fc7305a1,Themba Gorimbo,Men,Welterweight
c245be6698c1e378,2025-11-01,W,ad5cb64af10fc946,Donte Johnson,10,18,4e6738062d469256,Sedriques Dumas,Men,Middleweight
e6031b5937294176,2025-11-01,L,8e382b585a92affe,Phil Rowe,4,7,4a07b1988477502c,Seokhyeon Ko,Men,Welterweight
f063bcccbbb9edc5,2025-11-01,W,07a74004d964c7f4,Billy Elekana,17,23,7e9b36a9847db116,Kevin Christian,Men,Light Heavyweight
f41c2c82d5117230,2025-11-01,W,253076a23d03dcd0,Allan Nascimento,52,115,7f6ed67d3ed3c036,Cody Durden,Men,Catchweight
0230a9dd2739add4,2025-10-25,W,b07aed698fba8624,Ikram Aliskerov,91,134,285ae0b4a68221f4,JunYong Park,Men,Middleweight
22dd728012944f0a,2025-10-25,L,7f1bf0c255ec8756,Azat Maksum,19,88,0be6776db31d98ec,Mitch Raposo,Men,Flyweight
3fdb4c4b39218cf4,2025-10-25,W,3329d692aea4dc28,Hamdy Abdelwahab,99,139,7a5e8c94a86f9895,Chris Barnett,Men,Heavyweight
6390c8e74630473e,2025-10-25,NC,399afbabc02376b5,Tom Aspinall,27,39,787bb1f087ccff8a,Ciryl Gane,Men,Heavyweight
7d3da3c4153717de,2025-10-25,L,7dda2cf308f24a02,Virna Jandiroba,106,217,7447e9f28508106a,Mackenzie Dern,Women,Strawweight
b42a3386a7dccb3d,2025-10-25,W,279566840aa55bf2,Alexander Volkov,24,27,41e83a89929d1327,Jailton Almeida,Men,Heavyweight
bd7394f07247d9ca,2025-10-25,W,329e403448756217,Nathaniel Wood,99,176,7d6ceff6747f2de2,Jose Delgado,Men,Featherweight
cb902d73389ed34b,2025-10-25,L,b7b84ccd221be298,Nasrat Haqparast,10,13,17734443a833cdf7,Quillan Salkilld,Men,Lightweight
e69f9b4b9cae12a4,2025-10-25,W,2b6fc1c02736833d,Umar Nurmagomedov,32,54,bc711b6dd95c1af6,Mario Bautista,Men,Bantamweight
e9c034cec33b3479,2025-10-25,W,5b86d491d63890c5,Ludovit Klein,82,140,849c5d9979df5357,Mateusz Rebecki,Men,Lightweight
ef12d2aaaadaf6d0,2025-10-25,L,333b9e5c723ac873,Aleksandar Rakic,9,14,e90a2f22417af68e,Azamat Murzakanov,Men,Light Heavyweight
