fighter_id,details_url,name,height_in,weight_lb,reach_in,stance,dob
000774e57404d8c7,http://ufcstats.com/fighter-details/000774e57404d8c7,Chungreng Koren,NA,135,NA,NA,1998-02-01
001eb2ab0f30e7ea,http://ufcstats.com/fighter-details/001eb2ab0f30e7ea,Mark Choinski,68,155,69,Orthodox,1995-10-22
002ca196477ce572,http://ufcstats.com/fighter-details/002ca196477ce572,Gabriel Silva,66,135,71,Orthodox,1994-08-26
003d82fa384ca1d0,http://ufcstats.com/fighter-details/003d82fa384ca1d0,Aalon Cruz,72,145,78,Switch,1989-09-20
0052de90691d4a93,http://ufcstats.com/fighter-details/0052de90691d4a93,Davi Ramos,66,155,70,Orthodox,1986-11-05
006efbb0c1621fd7,http://ufcstats.com/fighter-details/006efbb0c1621fd7,Tyler Hill,75,170,NA,Switch,1991-08-10
008c6e1a25751575,http://ufcstats.com/fighter-details/008c6e1a25751575,Wesley Little,76,205,NA,NA,NA
008cf84faae9c7a5,http://ufcstats.com/fighter-details/008cf84faae9c7a5,Bryan Travers,NA,155,NA,NA,1983-04-11
008dc37cca279def,http://ufcstats.com/fighter-details/008dc37cca279def,Sean McCorkle,79,265,81,Orthodox,1976-07-17
008ea710276c9606,http://ufcstats.com/fighter-details/008ea710276c9606,Jeff Molina,66,125,69,Orthodox,1997-07-17
009341ed974bad72,http://ufcstats.com/fighter-details/009341ed974bad72,Jiri Prochazka,75,205,80,Orthodox,1992-10-14
009c4420727149ea,http://ufcstats.com/fighter-details/009c4420727149ea,AJ Dobson,73,185,76,Orthodox,1992-01-18
00a35c92b03992b0,http://ufcstats.com/fighter-details/00a35c92b03992b0,Oron Kahlon,68,135,70,Orthodox,1984-11-04
00a3ff40c4b2cf21,http://ufcstats.com/fighter-details/00a3ff40c4b2cf21,Glaico Franca Moreira,72,155,77,Orthodox,1991-02-28
00a905a4a4a2b071,http://ufcstats.com/fighter-details/00a905a4a4a2b071,Greg McIntyre,70,155,NA,Orthodox,1980-04-21
00b490982afd1b17,http://ufcstats.com/fighter-details/00b490982afd1b17,SangHoon Yoo,72,170,74,Orthodox,1990-01-18
00debc804e2b1cd4,http://ufcstats.com/fighter-details/00debc804e2b1cd4,Dylan Andrews,73,185,74,Switch,1979-11-15
00e11b5c8b7bfeeb,http://ufcstats.com/fighter-details/00e11b5c8b7bfeeb,Luke Rockhold,75,185,77,Southpaw,1984-10-17
010986ee359fb863,http://ufcstats.com/fighter-details/010986ee359fb863,John Salter,73,185,74,Southpaw,1985-03-21
0112352cb32f5026,http://ufcstats.com/fighter-details/0112352cb32f5026,Denis Tiuliulin,73,185,77,Orthodox,1988-05-17
012fc7cd0779c09a,http://ufcstats.com/fighter-details/012fc7cd0779c09a,Art Santore,74,185,NA,NA,1972-10-26
013da757877044a2,http://ufcstats.com/fighter-details/013da757877044a2,Joe Brammer,68,155,NA,Orthodox,1983-08-23
01641ba5df0c69b0,http://ufcstats.com/fighter-details/01641ba5df0c69b0,Gabriel Bonfim,73,170,72,Orthodox,1997-08-20
016a8d958883167c,http://ufcstats.com/fighter-details/016a8d958883167c,Gina Mazany,66,125,68,Southpaw,1988-08-19
01762e1d4ff4dc51,http://ufcstats.com/fighter-details/01762e1d4ff4dc51,Justice Torres,67,145,66,Southpaw,1997-10-19
